,Species,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Male,Delta 15 N (o/oo),Delta 13 C (o/oo),Island_Biscoe,Island_Dream,Island_Torgersen
332,2,1,386,43.2,18.5,192.0,4100.0,1,8.97025,-26.03679,0,1,0
333,2,1,388,36.9,18.6,189.0,3500.0,0,8.59147,-26.08165,0,1,0
334,1,1,11,50.5,15.2,216.0,5000.0,0,8.24691,-26.18466,1,0,0
335,0,1,12,45.7,17.0,195.0,3650.0,0,9.26715,-24.31912,0,1,0
336,2,0,14,37.7,19.8,198.0,3500.0,1,9.11066,-26.42563,0,0,1
337,1,1,9,49.9,16.1,213.0,5400.0,1,8.3639,-26.15531,1,0,0
338,2,1,750,37.8,18.3,174.0,3400.0,0,8.73762,-25.09383,1,0,0
339,0,1,382,47.6,18.3,195.0,3850.0,0,8.83502,-24.65859,0,1,0
340,2,1,382,39.7,18.4,190.0,3900.0,1,9.29808,-25.23453,0,0,1
341,2,1,16,38.6,17.2,199.0,3750.0,0,8.77322,-26.48973,1,0,0
342,1,1,392,46.6,14.2,210.0,4850.0,0,8.38289,-26.86352,1,0,0
343,2,1,16,37.7,16.0,183.0,3075.0,0,9.2151,-26.2253,1,0,0
